"Term","Estimate","Method","DF","Test_Statistic","p","p < alpha"
"bSpline:Offspring.Acc2:Father.Acc2",-0.0482552891626384,"Satterthwaite",2343.31538245263,-0.274579635084604,0.783663418120628,""
"bSpline:Offspring.Acc2:Father.Acc2",-0.0482552891626384,"Kenward-Roger",2342.7632642184,-0.274579635084604,0.78366342382448,""
"bSpline:Offspring.Acc2:Father.Acc2",-0.0482552891626384,"n-1",228,-0.274579635084604,0.783887845528126,""
"bSpline:Offspring.Acc2:Father.Acc2",-0.0127715109611194,"z-value",NA,-0.0616076925006957,0.950875250852067,""
"bSpline:Offspring.Acc2:Father.Acc2:Mother.Acc2",0.303828827022443,"Satterthwaite",2344.32381821893,1.26915172381133,0.204512941418378,""
"bSpline:Offspring.Acc2:Father.Acc2:Mother.Acc2",0.303828827022443,"Kenward-Roger",2343.77159932237,1.26915172381133,0.204512971098721,""
"bSpline:Offspring.Acc2:Father.Acc2:Mother.Acc2",0.303828827022443,"n-1",228,1.26915172381133,0.205680992526705,""
"bSpline:Offspring.Acc2:Father.Acc2:Mother.Acc2",0.302421948219078,"z-value",NA,1.07771521619999,0.281160865826122,""
"bSpline:Offspring.Acc2:Mother.Acc2",-0.129236061476232,"Satterthwaite",2345.15619856742,-0.78114568798057,0.434795658789324,""
"bSpline:Offspring.Acc2:Mother.Acc2",-0.129236061476232,"Kenward-Roger",2344.60679329326,-0.78114568798057,0.434795677263396,""
"bSpline:Offspring.Acc2:Mother.Acc2",-0.129236061476232,"n-1",228,-0.78114568798057,0.435527138085645,""
"bSpline:Offspring.Acc2:Mother.Acc2",-0.190744568999783,"z-value",NA,-0.978689562967293,0.327733390596626,""
"Father.Acc2",0.436073633894625,"Satterthwaite",11.4157567631966,3.08281136546015,0.0100074747701763,"*"
"Father.Acc2",0.436073633894625,"Kenward-Roger",11.5987918044099,3.08281136546015,0.0098378435010087,"*"
"Father.Acc2",0.436073633894625,"n-1",228,3.08281136546015,0.00230324573529038,"*"
"Father.Acc2",0.379467918781949,"z-value",NA,2.60090794968837,0.00929773983587249,"*"
"Father.Acc2:Mother.Acc2",-0.218750845716368,"Satterthwaite",834.122260285753,-1.37864581949877,0.168373595615899,""
"Father.Acc2:Mother.Acc2",-0.218750845716368,"Kenward-Roger",792.446272517198,-1.37864581949877,0.168393028105426,""
"Father.Acc2:Mother.Acc2",-0.218750845716368,"n-1",228,-1.37864581949877,0.1693551212277,""
"Father.Acc2:Mother.Acc2",-0.132667720275775,"z-value",NA,-0.718463556580326,0.472471510712567,""
"Mass",0.204952884363743,"Satterthwaite",160.996892127515,12.2722962675609,7.36037491156887e-25,"*"
"Mass",0.204952884363743,"Kenward-Roger",157.460243802215,12.2722962675609,1.01666845935977e-24,"*"
"Mass",0.204952884363743,"n-1",228,12.2722962675609,6.46584891127921e-27,"*"
"Mass",0.204457292871804,"z-value",NA,12.0961557862067,1.10673601688249e-33,"*"
"Mother.Acc2",0.222640621350863,"Satterthwaite",213.080589859599,2.04563541111667,0.0420207765295209,"*"
"Mother.Acc2",0.222640621350863,"Kenward-Roger",185.534068068321,2.04563541111667,0.0422037354954411,"*"
"Mother.Acc2",0.222640621350863,"n-1",228,2.04563541111667,0.0419401859871728,"*"
"Mother.Acc2",0.115751798887458,"z-value",NA,0.920696186753741,0.357209067617582,""
"Offspring.Acc2",0.0173137727203667,"Satterthwaite",415.63257789854,0.150527950766616,0.880421124333031,""
"Offspring.Acc2",0.0173137727203667,"Kenward-Roger",389.524210133517,0.150527950766616,0.88042601724877,""
"Offspring.Acc2",0.0173137727203667,"n-1",228,0.150527950766616,0.880481185581383,""
