Offspring.Acc,Mother.Acc,Father.Acc,Mother.ID,Father.ID,Mass,RMR,MMR,AAS,CTM,RMR.MS,MMR.MS,AAS.MS,Parent.group,Tank,Tank.Box,Family
2,1,2,3,1,1.93,,0.79084782,0.450214674,29.2,,409.7657,233.2718,2,4,4D,3
2,1,2,3,1,2.92,,1.14340128,,29.4,,391.5758,,2,4,4D,3
2,1,2,4,1,2.3,,1.0189008,0.57232188,29.2,,443.0003,248.8356,2,4,4D,4
2,1,2,3,1,3.13,,0.91110012,0.575323896,29.1,,291.0863,183.8096,2,4,4D,3
2,1,2,4,1,3.46,,1.42639344,1.019331672,,,412.2524,294.6045,2,4,4D,4
2,1,2,4,1,3.2,,0.9113076,0.45221904,29.4,,284.7836,141.3184,2,4,4D,4
2,1,2,4,1,2.89,,0.98469504,0.70298727,29.4,,340.7249,243.24816,2,4,4D,4
2,1,2,4,1,3.18,,1.09491816,,29.6,,344.3139,,2,4,4D,4
2,1,2,4,1,1.4,,0.37065168,0.14676264,29.4,,399.8283,239.9076,2,4,4D,4
2,1,2,3,1,2.68,0.278302464,1.08473376,0.806431296,29.4,103.8442,404.7514,300.9072,2,4,4D,3
2,1,2,3,1,3.25,0.4720491,1.5172485,,29.4,145.2459,466.8457,,2,4,4D,3
2,1,2,4,1,2.4,0.24708804,0.8989032,0.65181516,29.6,102.9533,374.543,271.5897,2,4,4D,4
2,1,2,3,1,3.64,,1.52840784,0.802723584,29.1,,419.8923,220.5285,2,4,4D,3
2,1,1,4,4,4.63,0.573731568,1.24294062,0.755008788,29.1,123.9161,268.4537,163.0689,1,5,5A,16
2,1,1,4,4,3.12,0.598479552,0.90532464,0.490469496,29.1,191.8204,290.1682,157.2018,1,5,5A,16
2,1,1,3,4,5.54,0.95114052,,,,171.686,,,1,5,5A,15
2,1,1,3,4,2.39,0.379747692,1.22560956,0.973204614,28.8,158.8902,512.8074,407.1986,1,5,5A,15
2,1,1,3,4,2.64,,0.97055952,0.611775528,28.9,,367.6362,231.7332,1,5,5A,15
2,1,1,4,4,5.17,1.06552836,1.96856724,,28.9,206.0983,380.7674,,1,5,5A,16
2,1,1,4,4,3.11,0.477857556,0.97048818,0.492630624,28.9,153.6519,312.0541,158.4022,1,5,5A,16
2,1,1,4,4,3.87,0.511943832,1.13959104,0.627647208,28.9,132.2852,294.468,162.1828,1,5,5A,16
2,1,1,3,4,4.02,0.64893672,1.39441548,0.912721512,29,161.427,346.8695,227.0451,1,5,5A,15
2,1,1,3,4,2.57,0.306172944,1.16945136,0.863278416,29,119.1334,455.0394,335.906,1,5,5A,15
2,1,1,3,4,3.66,0.82486932,1.65556296,0.89476116,28.9,225.3741,452.3396,244.4703,1,5,5A,15
2,1,1,3,4,2.62,0.518107968,1.34299812,,28.9,197.7511,512.5947,,1,5,5A,15
2,1,1,4,4,2.37,0.355896786,0.86601306,,29,150.1674,365.4063,,1,5,5A,16
2,1,1,4,4,4.02,0.72660588,1.70001096,1.19479848,29,180.7477,422.8883,297.2136,1,5,5A,16
2,1,1,3,3,4.55,1.0392426,1.5277878,1.06121268,29.1,228.405,335.7775,233.2335,1,4,4B,11
2,1,1,3,3,3.28,0.79750944,1.04654856,0.701253264,29.1,243.1431,319.0697,213.7967,1,4,4B,11
2,1,1,4,3,5.19,0.98268162,,,29,189.3414,,,1,4,4B,12
2,1,1,3,3,4.58,0.63509508,1.70081208,1.065717,29,138.6671,371.3564,232.6893,1,4,4B,11
2,1,1,4,3,4.5,0.5019066,1.24356,0.7416534,28.9,111.5348,276.3467,164.8119,1,4,4B,12
2,1,1,4,3,3.62,0.674241624,1.50535476,0.831113136,29,186.2546,415.8438,229.5892,1,4,4B,12
2,1,1,4,3,4.39,0.455471604,1.19910462,0.879898194,29,103.7521,273.1446,200.43243,1,4,4B,12
2,1,1,3,3,4.28,0.9452376,1.19947392,0.65840688,28.9,220.8499,280.2509,153.8334,1,4,4B,11
2,1,1,3,3,3.48,0.292231296,1.14544752,0.853216224,28.9,83.97451,329.1516,245.17709,1,4,4B,11
2,1,1,,,2.57,0.43560594,0.95054652,0.567389592,,169.4965,369.8625,220.7742,1,4,4B,
2,1,1,4,3,3.44,,1.3092012,,28.9,,380.5818,,1,4,4B,12
2,1,1,3,3,4.02,,1.44232356,1.050929064,28.9,,358.787,261.42518,1,4,4B,11
2,1,1,3,3,3.95,,0.9972099,,28.9,,252.4582,,1,4,4B,11
2,1,1,3,3,4.31,,1.48521114,0.59307066,28.9,,344.5966,137.6035,1,4,4B,11
